Price,close,high,low,open,volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-01-04,295.3973693847656,298.2466088692039,294.3755587638269,296.6353004238986,1963682
2010-01-05,295.4759826660156,298.50207663062577,293.39309491966054,296.71393782913407,2014488
2010-01-06,288.79510498046875,295.61364728688784,288.0680669301155,295.4760833403759,3349176
2010-01-07,280.7582092285156,290.58317422130057,279.4220043948045,289.05047008773374,6474892
2010-01-08,275.0204162597656,282.36949489787776,273.7235256734472,281.38699839510156,6048178
2010-01-11,280.67962646484375,282.99830399080776,275.2562501658427,276.671035639762,4318408
2010-01-12,294.7685852050781,296.3209344201424,285.7099725775113,287.6749655113319,9027690
2010-01-13,309.89910888671875,312.9841629622554,292.6464809723367,292.7840209176706,10910272
2010-01-14,306.4800109863281,313.7898008259647,302.3535248465567,313.7898008259647,10327614
2010-01-15,311.0191650390625,314.2417350266309,303.4932307201331,312.82694937290506,7945008
2010-01-18,315.26348876953125,325.7958466877853,311.6478967713073,314.39888703284464,7261084
2010-01-19,306.81402587890625,315.263496166153,306.0083835093291,315.263496166153,5154850
2010-01-20,306.3031005859375,311.33347757546346,302.9626126805929,311.33347757546346,4347054
2010-01-21,302.8643493652344,311.23521388225004,301.7836033269952,303.4931374655185,5089504
2010-01-22,297.83392333984375,300.64387239548563,292.6660071148853,299.0718782914569,7574990
2010-01-25,297.1855773925781,300.84045995986463,291.2709526374807,297.69647082899735,3008286
2010-01-27,292.8905029296875,299.3527812528129,291.6492889199882,295.5305809293914,4844398
2010-01-28,292.2796630859375,298.6631266651208,286.7433965561223,295.3334782378297,6537196
2010-01-29,290.09283447265625,291.5113716968356,280.61615828111456,289.225939924395,5473326
2010-02-01,294.0135192871094,300.5742834348797,283.70934391237836,289.36381913271856,3378012
2010-02-02,290.959716796875,300.5152055550493,289.61996854672685,297.5007840173861,4739188
2010-02-03,296.6929016113281,298.2493669332014,289.8168877047985,293.16623310995254,2977676
2010-02-04,291.0779724121094,297.06739797153654,288.6349144016444,296.6930543646328,2716612
2010-02-05,285.0885314941406,289.62000089591345,282.3696402329398,289.62000089591345,4607118
2010-02-08,285.3446350097656,289.52145757789174,279.03998265012456,287.2557231361458,4170344
2010-02-09,289.6790771484375,292.35854953240136,284.1230879482561,285.6795537754454,3005894
2010-02-10,288.5560607910156,293.04813534062396,286.901084691142,291.55078517420145,2337374
2010-02-11,292.6541442871094,294.72285875089614,289.6200249301531,290.7824502484451,2413156
2010-02-15,294.0135192871094,295.5305665753941,291.0187951156086,295.5305665753941,1956482
2010-02-16,298.7420959472656,301.42156905980335,292.4571392451992,294.4470408335366,1660490
2010-02-17,298.93914794921875,302.60372362614623,296.53548395226943,301.40190365284593,2528290
2010-02-18,298.9981689453125,302.20961124350237,297.69783905138434,299.47102273865266,1814806
2010-02-19,295.747314453125,299.27398438531117,293.87562067323,297.4614063449179,2215880
2010-02-22,298.3874206542969,300.92898883606614,297.02797497099294,298.28891044609145,2143460
2010-02-23,300.2983703613281,301.441097868807,296.02303892018466,299.0768539639536,1853052
2010-02-24,301.5791320800781,303.68726489807534,296.3580912131181,297.89486003183225,4076058
